Team,Elo
Al Nassr,1627.040835493497
Al Hilal,1606.116751073496
Al Taawoun,1575.917433865207
Al Ahli,1569.2971453660775
Al Ittihad,1551.09236237196
Al Qadsiah,1547.689585746183
Neom S.C.,1521.5310273875202
Al Khaleej,1504.5732588801193
Al Kholood,1481.327305401962
Al Shabab,1479.0777755863435
Al Fateh,1475.05452972853
Al Fayha,1474.0209488143535
Al Ettifaq,1474.0056481647614
Al Khlood,1473.4951376601427
Al Riyadh,1464.1048835641657
Al Hazem,1458.9144451845755
Damac,1435.7104753712836
Al Okhdood,1430.6900187537308
Al Najmah,1390.3404315860914
